ID,year,party,race
90,2019,Republican,Black
91,2019,Independent,Black
92,2019,Democrat,Black
93,2019,Independent,Black
94,2019,Democrat,Black
95,2019,Democrat,Black
96,2019,Independent,Black
97,2019,Democrat,Black
98,2019,Democrat,Black
99,2019,Unsure/Refused,Black
100,2019,Unsure/Refused,Black
101,2019,Democrat,Black
102,2019,Democrat,Black
103,2019,Democrat,Black
104,2019,Democrat,Black
105,2019,Democrat,Black
106,2019,Democrat,Black
107,2019,Democrat,Black
108,2019,Democrat,Black
109,2019,Democrat,Black
110,2019,Democrat,Black
111,2019,Independent,Black
112,2019,Democrat,Black
113,2019,Democrat,Black
114,2019,Democrat,Black
115,2019,Democrat,Black
116,2019,Democrat,Black
117,2019,Democrat,Black
118,2019,Democrat,Black
119,2019,Independent,Black
120,2019,Democrat,Black
121,2019,Democrat,Black
122,2019,Democrat,Black
123,2019,Democrat,Black
124,2019,Democrat,Black
125,2019,Democrat,Black
126,2019,Democrat,Black
127,2019,Democrat,Black
128,2019,Democrat,Black
129,2019,Democrat,Black
130,2019,Democrat,Black
131,2019,Democrat,Black
132,2019,Democrat,Black
133,2019,Independent,Black
134,2019,Independent,Black
135,2019,Democrat,Black
136,2019,Independent,Black
137,2019,Democrat,Black
138,2019,Democrat,Black
139,2019,Independent,Black
140,2019,Democrat,Black
141,2019,Democrat,Black
142,2019,Democrat,Black
143,2019,Democrat,Black
144,2019,Democrat,Black
145,2019,Democrat,Black
146,2019,Democrat,Black
147,2019,Democrat,Black
148,2019,Democrat,Black
149,2019,Democrat,Black
150,2019,Democrat,Black
151,2019,Republican,Black
152,2019,Democrat,Black
153,2019,Independent,Black
154,2019,Democrat,Black
155,2019,Democrat,Black
156,2019,Democrat,Black
157,2019,Republican,Black
158,2019,Democrat,Black
159,2019,Democrat,Black
160,2019,Democrat,Black
161,2019,Democrat,Black
162,2019,Democrat,Black
163,2019,Democrat,Black
164,2019,Democrat,Black
165,2019,Independent,Black
166,2019,Democrat,Black
167,2019,Democrat,Black
168,2019,Independent,Black
169,2019,Democrat,Black
170,2019,Democrat,Black
171,2019,Democrat,Black
172,2019,Democrat,Black
173,2019,Democrat,Black
174,2019,Democrat,Black
175,2019,Democrat,Black
176,2019,Independent,Black
177,2019,Democrat,Black
178,2019,Democrat,Black
179,2019,Democrat,Black
180,2019,Independent,Black
181,2019,Democrat,Black
182,2019,Democrat,Black
183,2019,Democrat,Black
184,2019,Democrat,Black
185,2019,Independent,Black
186,2019,Independent,Black
187,2019,Democrat,Black
188,2019,Democrat,Black
189,2019,Republican,Black
190,2019,Democrat,Black
191,2019,Democrat,Black
192,2019,Democrat,Black
193,2019,Democrat,Black
194,2019,Democrat,Black
195,2019,Democrat,Black
196,2019,Democrat,Black
197,2019,Democrat,Black
198,2019,Independent,Black
199,2019,Independent,Black
200,2019,Independent,Black
201,2019,Independent,Black
202,2019,Independent,Black
203,2019,Independent,Black
204,2019,Democrat,Black
205,2019,Democrat,Black
206,2019,Democrat,Black
207,2019,Democrat,Black
208,2019,Democrat,Black
209,2019,Democrat,Black
210,2019,Democrat,Black
211,2019,Democrat,Black
212,2019,Democrat,Black
213,2019,Independent,Black
214,2019,Democrat,Black
215,2019,Democrat,Black
216,2019,Democrat,Black
217,2019,Independent,Black
218,2019,Democrat,Black
219,2019,Democrat,Black
220,2019,Democrat,Black
221,2019,Independent,Black
222,2019,Democrat,Black
223,2019,Democrat,Black
224,2019,Republican,Black
225,2019,Independent,Black
226,2019,Democrat,Black
227,2019,Democrat,Black
228,2019,Independent,Black
229,2019,Independent,Black
230,2019,Democrat,Black
231,2019,Independent,Black
232,2019,Independent,Black
233,2019,Independent,Black
234,2019,Democrat,Black
235,2019,Democrat,Black
236,2019,Democrat,Black
237,2019,Independent,Black
238,2019,Democrat,Black
239,2019,Independent,Black
240,2019,Independent,Black
241,2019,Democrat,Black
242,2019,Democrat,Black
243,2019,Unsure/Refused,Black
244,2019,Democrat,Black
245,2019,Democrat,Black
246,2019,Democrat,Black
247,2019,Democrat,Black
248,2019,Republican,Black
249,2019,Democrat,Black
250,2019,Independent,Black
251,2019,Democrat,Black
252,2019,Independent,Black
253,2019,Democrat,Black
254,2019,Democrat,Black
255,2019,Democrat,Black
256,2019,Democrat,Black
257,2019,Democrat,Black
258,2019,Democrat,Black
259,2019,Democrat,Black
260,2019,Democrat,Black
261,2019,Democrat,Black
262,2019,Democrat,Black
263,2019,Republican,Black
264,2019,Independent,Black
265,2019,Democrat,Black
266,2019,Republican,Black
267,2019,Democrat,Black
268,2019,Democrat,Black
269,2019,Democrat,Black
270,2019,Democrat,Black
271,2019,Democrat,Black
272,2019,Democrat,Black
273,2019,Democrat,Black
274,2019,Independent,Black
275,2019,Independent,Black
276,2019,Democrat,Black
277,2019,Independent,Black
278,2019,Republican,Black
279,2019,Independent,Black
280,2019,Independent,Black
281,2019,Democrat,Black
282,2019,Democrat,Black
283,2019,Democrat,Black
284,2019,Democrat,Black
285,2019,Independent,Black
286,2019,Democrat,Black
287,2019,Democrat,Black
288,2019,Independent,Black
289,2019,Independent,Black
290,2019,Democrat,Black
291,2019,Democrat,Black
292,2019,Democrat,Black
293,2019,Democrat,Black
294,2019,Democrat,Black
295,2019,Democrat,Black
296,2019,Democrat,Black
297,2019,Democrat,Black
298,2019,Democrat,Black
299,2019,Democrat,Black
300,2019,Democrat,Black
301,2019,Democrat,Black
302,2019,Independent,Black
303,2019,Democrat,Black
304,2019,Democrat,Black
305,2019,Democrat,Black
306,2019,Democrat,Black
307,2019,Independent,Black
308,2019,Democrat,Black
309,2019,Democrat,Black
310,2019,Democrat,Black
311,2019,Democrat,Black
312,2019,Democrat,Black
313,2019,Unsure/Refused,Black
314,2019,Democrat,Black
315,2019,Democrat,Black
316,2019,Independent,Black
317,2019,Independent,Black
318,2019,Democrat,Black
319,2019,Democrat,Black
320,2019,Democrat,Black
321,2019,Independent,Black
322,2019,Democrat,Black
323,2019,Democrat,Black
324,2019,Democrat,Black
325,2019,Democrat,Black
326,2019,Democrat,Black
327,2019,Democrat,Black
328,2019,Democrat,Black
329,2019,Democrat,Black
330,2019,Democrat,Black
331,2019,Independent,Black
332,2019,Independent,Black
333,2019,Independent,Black
334,2019,Democrat,Black
335,2019,Independent,Black
336,2019,Independent,Black
337,2019,Democrat,Black
338,2019,Democrat,Black
339,2019,Democrat,Black
340,2019,Democrat,Black
341,2019,Democrat,Black
342,2019,Independent,Black
343,2019,Democrat,Black
344,2019,Democrat,Black
345,2019,Independent,Black
346,2019,Democrat,Black
347,2019,Independent,Black
348,2019,Independent,Black
349,2019,Independent,Black
350,2019,Democrat,Black
351,2019,Independent,Black
352,2019,Republican,Black
353,2019,Democrat,Black
354,2019,Independent,Black
355,2019,Democrat,Black
356,2019,Democrat,Black
357,2019,Democrat,Black
358,2019,Republican,Black
359,2019,Democrat,Black
360,2019,Independent,Black
361,2019,Democrat,Black
362,2019,Democrat,Black
363,2019,Democrat,Black
364,2019,Independent,Black
365,2019,Democrat,Black
366,2019,Unsure/Refused,Black
367,2019,Independent,Black
368,2019,Democrat,Black
369,2019,Republican,Black
370,2019,Democrat,Black
371,2019,Democrat,Black
372,2019,Independent,Black
373,2019,Independent,Black
374,2019,Independent,Black
375,2019,Democrat,Black
376,2019,Democrat,Black
377,2019,Democrat,Black
378,2019,Democrat,Black
379,2019,Democrat,Black
380,2019,Democrat,Black
381,2019,Democrat,Black
382,2019,Democrat,Black
383,2019,Democrat,Black
384,2019,Democrat,Black
385,2019,Democrat,Black
386,2019,Independent,Black
387,2019,Democrat,Black
388,2019,Democrat,Black
389,2019,Independent,Black
390,2019,Independent,Black
391,2019,Democrat,Black
392,2019,Democrat,Black
393,2019,Unsure/Refused,Black
394,2019,Democrat,Black
395,2019,Republican,Black
396,2019,Independent,Black
397,2019,Democrat,Black
398,2019,Democrat,Black
399,2019,Democrat,Black
400,2019,Democrat,Black
401,2019,Independent,Black
402,2019,Independent,Black
403,2019,Democrat,Black
404,2019,Independent,Black
405,2019,Democrat,Black
406,2019,Democrat,Black
407,2019,Democrat,Black
408,2019,Democrat,Black
409,2019,Independent,Black
410,2019,Independent,Black
411,2019,Democrat,Black
412,2019,Democrat,Black
413,2019,Independent,Black
414,2019,Democrat,Black
415,2019,Independent,Black
416,2019,Democrat,Black
417,2019,Democrat,Black
418,2019,Democrat,Black
419,2019,Democrat,Black
420,2019,Democrat,Black
421,2019,Republican,Black
422,2019,Democrat,Black
423,2019,Democrat,Black
424,2019,Democrat,Black
425,2019,Independent,Black
426,2019,Democrat,Black
427,2019,Democrat,Black
428,2019,Independent,Black
429,2019,Democrat,Black
430,2019,Democrat,Black
431,2019,Democrat,Black
432,2019,Democrat,Black
433,2019,Democrat,Black
434,2019,Democrat,Black
435,2019,Independent,Black
436,2019,Democrat,Black
437,2019,Unsure/Refused,Black
438,2019,Democrat,Black
439,2019,Democrat,Black
440,2019,Democrat,Black
441,2019,Democrat,Black
442,2019,Republican,Black
443,2019,Independent,Black
444,2019,Independent,Black
445,2019,Democrat,Black
446,2019,Democrat,Black
447,2019,Democrat,Black
448,2019,Republican,Black
449,2019,Democrat,Black
450,2019,Independent,Black
451,2019,Independent,Black
452,2019,Democrat,Black
453,2019,Democrat,Black
454,2019,Democrat,Black
455,2019,Democrat,Black
456,2019,Independent,Black
457,2019,Independent,Black
458,2019,Democrat,Black
459,2019,Independent,Black
460,2019,Democrat,Black
461,2019,Independent,Black
462,2019,Democrat,Black
463,2019,Democrat,Black
464,2019,Democrat,Black
465,2019,Republican,Black
466,2019,Democrat,Black
467,2019,Democrat,Black
468,2019,Independent,Black
469,2019,Independent,Black
470,2019,Democrat,Black
471,2019,Democrat,Black
472,2019,Democrat,Black
473,2019,Independent,Black
474,2019,Independent,Black
475,2019,Democrat,Black
476,2019,Unsure/Refused,Black
477,2019,Democrat,Black
478,2019,Unsure/Refused,Black
479,2019,Democrat,Black
480,2019,Unsure/Refused,Black
481,2019,Democrat,Black
482,2019,Independent,Black
483,2019,Democrat,Black
484,2019,Independent,Black
485,2019,Independent,Black
486,2019,Democrat,Black
487,2019,Democrat,Black
488,2019,Independent,Black
489,2019,Independent,Black
490,2019,Democrat,Black
491,2019,Independent,Black
492,2019,Democrat,Black
493,2019,Democrat,Black
494,2019,Independent,Black
495,2019,Independent,Black
496,2019,Independent,Black
497,2019,Democrat,Black
498,2019,Democrat,Black
499,2019,Republican,Black
500,2019,Independent,Black
501,2019,Democrat,Black
502,2019,Democrat,Black
503,2019,Independent,Black
504,2019,Independent,Black
505,2019,Independent,Black
506,2019,Democrat,Black
507,2019,Democrat,Black
508,2019,Independent,Black
509,2019,Democrat,Black
510,2019,Independent,Black
511,2019,Democrat,Black
512,2019,Democrat,Black
513,2019,Democrat,Black
514,2019,Democrat,Black
515,2019,Democrat,Black
516,2019,Democrat,Black
517,2019,Independent,Black
518,2019,Democrat,Black
519,2019,Democrat,Black
520,2019,Independent,Black
521,2019,Independent,Black
522,2019,Democrat,Black
523,2019,Democrat,Black
524,2019,Democrat,Black
525,2019,Democrat,Black
526,2019,Democrat,Black
527,2019,Independent,Black
528,2019,Democrat,Black
529,2019,Democrat,Black
530,2019,Independent,Black
531,2019,Democrat,Black
532,2019,Democrat,Black
533,2019,Democrat,Black
534,2019,Independent,Black
535,2019,Unsure/Refused,Black
536,2019,Republican,Black
537,2019,Democrat,Black
538,2019,Democrat,Black
539,2019,Republican,Black
540,2019,Democrat,Black
541,2019,Democrat,Black
542,2019,Democrat,Black
543,2019,Democrat,Black
544,2019,Unsure/Refused,Black
545,2019,Democrat,Black
546,2019,Independent,Black
547,2019,Republican,Black
548,2019,Independent,Black
549,2019,Democrat,Black
550,2019,Democrat,Black
551,2019,Democrat,Black
552,2019,Independent,Black
553,2019,Democrat,Black
554,2019,Democrat,Black
555,2019,Democrat,Black
556,2019,Democrat,Black
557,2019,Democrat,Black
558,2019,Independent,Black
559,2019,Democrat,Black
560,2019,Unsure/Refused,Black
561,2019,Democrat,Black
562,2019,Independent,Black
563,2019,Democrat,Black
564,2019,Democrat,Black
565,2019,Democrat,Black
566,2019,Democrat,Black
567,2019,Independent,Black
568,2019,Democrat,Black
569,2019,Independent,Black
570,2019,Democrat,Black
571,2019,Independent,Black
572,2019,Republican,Black
573,2019,Democrat,Black
574,2019,Democrat,Black
575,2019,Democrat,Black
576,2019,Democrat,Black
577,2019,Democrat,Black
578,2019,Independent,Black
579,2019,Democrat,Black
580,2019,Democrat,Black
581,2019,Unsure/Refused,Black
582,2019,Republican,Black
583,2019,Democrat,Black
584,2019,Democrat,Black
585,2019,Democrat,Black
586,2019,Democrat,Black
587,2019,Independent,Black
588,2019,Independent,Black
589,2019,Democrat,Black
590,2019,Democrat,Black
591,2019,Democrat,Black
592,2019,Democrat,Black
593,2019,Democrat,Black
594,2019,Democrat,Black
595,2019,Democrat,Black
596,2019,Democrat,Black
597,2019,Independent,Black
598,2019,Democrat,Black
599,2019,Independent,Black
600,2019,Democrat,Black
601,2019,Democrat,Black
602,2019,Independent,Black
603,2019,Democrat,Black
604,2019,Democrat,Black
605,2019,Unsure/Refused,Black
606,2019,Democrat,Black
607,2019,Democrat,Black
608,2019,Democrat,Black
609,2019,Democrat,Black
610,2019,Democrat,Black
611,2019,Democrat,Black
612,2019,Democrat,Black
613,2019,Democrat,Black
614,2019,Democrat,Black
615,2019,Unsure/Refused,Black
616,2019,Independent,Black
617,2019,Democrat,Black
618,2019,Democrat,Black
619,2019,Democrat,Black
620,2019,Independent,Black
621,2019,Democrat,Black
622,2019,Democrat,Black
623,2019,Democrat,Black
624,2019,Independent,Black
625,2019,Democrat,Black
626,2019,Democrat,Black
627,2019,Democrat,Black
628,2019,Democrat,Black
629,2019,Independent,Black
630,2019,Democrat,Black
631,2019,Independent,Black
632,2019,Democrat,Black
633,2019,Independent,Black
634,2019,Democrat,Black
635,2019,Democrat,Black
636,2019,Democrat,Black
637,2019,Republican,Black
638,2019,Democrat,Black
639,2019,Democrat,Black
640,2019,Democrat,Black
641,2019,Independent,Black
642,2019,Democrat,Black
643,2019,Democrat,Black
644,2019,Republican,Black
645,2019,Democrat,Black
646,2019,Democrat,Black
647,2019,Independent,Black
648,2019,Democrat,Black
649,2019,Independent,Black
650,2019,Democrat,Black
651,2019,Independent,Black
652,2019,Democrat,Black
653,2019,Democrat,Black
654,2019,Independent,Black
655,2019,Republican,Black
656,2019,Democrat,Black
657,2019,Democrat,Black
658,2019,Democrat,Black
659,2019,Democrat,Black
660,2019,Democrat,Black
661,2019,Democrat,Black
662,2019,Democrat,Black
663,2019,Democrat,Black
664,2019,Democrat,Black
665,2019,Independent,Black
666,2019,Democrat,Black
667,2019,Democrat,Black
668,2019,Independent,Black
669,2019,Democrat,Black
670,2019,Democrat,Black
671,2019,Democrat,Black
672,2019,Independent,Black
673,2019,Independent,Black
674,2019,Independent,Black
675,2019,Democrat,Black
676,2019,Democrat,Black
677,2019,Independent,Black
678,2019,Independent,Black
679,2019,Democrat,Black
680,2019,Democrat,Black
681,2019,Independent,Black
682,2019,Democrat,Black
683,2019,Democrat,Black
684,2019,Democrat,Black
685,2019,Independent,Black
686,2019,Democrat,Black
687,2019,Independent,Black
688,2019,Democrat,Black
689,2019,Democrat,Black
690,2019,Democrat,Black
691,2019,Independent,Black
692,2019,Independent,Black
693,2019,Independent,Black
694,2019,Independent,Black
695,2019,Democrat,Black
696,2019,Democrat,Black
697,2019,Democrat,Black
698,2019,Independent,Black
699,2019,Independent,Black
700,2019,Democrat,Black
701,2019,Democrat,Black
702,2019,Democrat,Black
703,2019,Independent,Black
704,2019,Independent,Black
705,2019,Democrat,Black
706,2019,Democrat,Black
707,2019,Democrat,Black
708,2019,Democrat,Black
709,2019,Independent,Black
710,2019,Democrat,Black
711,2019,Independent,Black
712,2019,Democrat,Black
713,2019,Independent,Black
714,2019,Unsure/Refused,Black
715,2019,Democrat,Black
716,2019,Independent,Black
717,2019,Democrat,Black
718,2019,Democrat,Black
719,2019,Democrat,Black
720,2019,Democrat,Black
721,2019,Independent,Black
722,2019,Democrat,Black
723,2019,Democrat,Black
724,2019,Democrat,Black
725,2019,Unsure/Refused,Black
726,2019,Democrat,Black
727,2019,Democrat,Black
728,2019,Democrat,Black
729,2019,Republican,Black
730,2019,Democrat,Black
731,2019,Democrat,Black
732,2019,Democrat,Black
733,2019,Independent,Black
734,2019,Independent,Black
735,2019,Democrat,Black
736,2019,Independent,Black
737,2019,Independent,Black
738,2019,Democrat,Black
739,2019,Democrat,Black
740,2019,Independent,Black
741,2019,Democrat,Black
742,2019,Democrat,Black
743,2019,Independent,Black
744,2019,Democrat,Black
745,2019,Independent,Black
746,2019,Democrat,Black
747,2019,Democrat,Black
748,2019,Democrat,Black
749,2019,Independent,Black
750,2019,Independent,Black
751,2019,Democrat,Black
752,2019,Democrat,Black
753,2019,Democrat,Black
754,2019,Democrat,Black
755,2019,Democrat,Black
756,2019,Democrat,Black
757,2019,Independent,Black
758,2019,Independent,Black
759,2019,Democrat,Black
760,2019,Independent,Black
761,2019,Democrat,Black
762,2019,Independent,Black
763,2019,Democrat,Black
764,2019,Independent,Black
765,2019,Democrat,Black
766,2019,Democrat,Black
767,2019,Democrat,Black
768,2019,Democrat,Black
769,2019,Democrat,Black
770,2019,Democrat,Black
771,2019,Democrat,Black
772,2019,Democrat,Black
773,2019,Republican,Black
774,2019,Democrat,Black
775,2019,Democrat,Black
776,2019,Republican,Black
777,2019,Republican,Black
778,2019,Independent,Black
779,2019,Independent,Black
780,2019,Democrat,Black
781,2019,Independent,Black
782,2019,Independent,Black
783,2019,Democrat,Black
784,2019,Democrat,Black
785,2019,Democrat,Black
786,2019,Unsure/Refused,Black
787,2019,Unsure/Refused,Black
788,2019,Unsure/Refused,Black
789,2019,Democrat,Black
790,2019,Democrat,Black
791,2019,Unsure/Refused,Black
792,2019,Democrat,Black
793,2019,Democrat,Black
794,2019,Democrat,Black
795,2019,Democrat,Black
796,2019,Democrat,Black
797,2019,Democrat,Black
798,2019,Democrat,Black
799,2019,Democrat,Black
800,2019,Democrat,Black
801,2019,Independent,Black
802,2019,Democrat,Black
803,2019,Independent,Black
804,2019,Democrat,Black
805,2019,Democrat,Black
806,2019,Independent,Black
807,2019,Independent,Black
808,2019,Independent,Black
809,2019,Democrat,Black
810,2019,Independent,Black
811,2019,Independent,Black
812,2019,Democrat,Black
813,2019,Democrat,Black
814,2019,Independent,Black
815,2019,Democrat,Black
816,2019,Democrat,Black
817,2019,Democrat,Black
818,2019,Democrat,Black
819,2019,Independent,Black
820,2019,Democrat,Black
821,2019,Democrat,Black
822,2019,Unsure/Refused,Black
823,2019,Democrat,Black
824,2019,Democrat,Black
825,2019,Democrat,Black
826,2019,Democrat,Black
827,2019,Democrat,Black
828,2019,Democrat,Black
829,2019,Democrat,Black
830,2019,Democrat,Black
831,2019,Independent,Black
832,2019,Democrat,Black
833,2019,Democrat,Black
834,2019,Democrat,Black
835,2019,Democrat,Black
836,2019,Republican,Black
837,2019,Democrat,Black
838,2019,Unsure/Refused,Black
839,2019,Democrat,Black
840,2019,Democrat,Black
841,2019,Democrat,Black
842,2019,Democrat,Black
843,2019,Democrat,Black
844,2019,Independent,Black
845,2019,Democrat,Black
846,2019,Independent,Black
847,2019,Democrat,Black
848,2019,Democrat,Black
849,2019,Republican,Black
850,2019,Independent,Black
851,2019,Democrat,Black
852,2019,Democrat,Black
853,2019,Democrat,Black
854,2019,Democrat,Black
855,2019,Democrat,Black
856,2019,Unsure/Refused,Black
857,2019,Democrat,Black
858,2019,Unsure/Refused,Black
859,2019,Democrat,Black
860,2019,Independent,Black
861,2019,Democrat,Black
862,2019,Democrat,Black
863,2019,Independent,Black
864,2019,Democrat,Black
865,2019,Independent,Black
866,2019,Democrat,Black
867,2019,Democrat,Black
868,2019,Democrat,Black
869,2019,Democrat,Black
870,2019,Democrat,Black
871,2019,Independent,Black
872,2019,Independent,Black
873,2019,Democrat,Black
874,2019,Democrat,Black
875,2019,Democrat,Black
876,2019,Independent,Black
877,2019,Democrat,Black
878,2019,Democrat,Black
879,2019,Democrat,Black
880,2019,Democrat,Black
881,2019,Democrat,Black
882,2019,Republican,Black
883,2019,Unsure/Refused,Black
884,2019,Democrat,Black
885,2019,Democrat,Black
886,2019,Democrat,Black
887,2019,Democrat,Black
888,2019,Democrat,Black
889,2019,Independent,Black
890,2019,Republican,Black
891,2019,Democrat,Black
892,2019,Democrat,Black
893,2019,Democrat,Black
894,2019,Independent,Black
895,2019,Democrat,Black
896,2019,Democrat,Black
897,2019,Independent,Black
898,2019,Democrat,Black
899,2019,Democrat,Black
900,2019,Independent,Black
901,2019,Democrat,Black
902,2019,Democrat,Black
903,2019,Democrat,Black
904,2019,Democrat,Black
905,2019,Democrat,Black
906,2019,Democrat,Black
907,2019,Democrat,Black
908,2019,Independent,Black
909,2019,Independent,Black
910,2019,Independent,Black
911,2019,Republican,Black
912,2019,Independent,Black
913,2019,Democrat,Black
914,2019,Democrat,Black
915,2019,Independent,Black
916,2019,Democrat,Black
917,2019,Democrat,Black
918,2019,Unsure/Refused,Black
919,2019,Independent,Black
920,2019,Independent,Black
921,2019,Independent,Black
922,2019,Democrat,Black
923,2019,Democrat,Black
924,2019,Democrat,Black
925,2019,Independent,Black
926,2019,Independent,Black
927,2019,Independent,Black
928,2019,Independent,Black
929,2019,Democrat,Black
930,2019,Independent,Black
931,2019,Independent,Black
932,2019,Independent,Black
933,2019,Democrat,Black
934,2019,Democrat,Black
935,2019,Democrat,Black
936,2019,Unsure/Refused,Black
937,2019,Independent,Black
938,2019,Democrat,Black
939,2019,Democrat,Black
940,2019,Democrat,Black
941,2019,Independent,Black
942,2019,Democrat,Black
943,2019,Independent,Black
944,2019,Republican,Black
945,2019,Democrat,Black
946,2019,Democrat,Black
947,2019,Democrat,Black
948,2019,Independent,Black
949,2019,Independent,Black
950,2019,Democrat,Black
951,2019,Democrat,Black
952,2019,Democrat,Black
953,2019,Democrat,Black
954,2019,Democrat,Black
955,2019,Democrat,Black
956,2019,Democrat,Black
957,2019,Democrat,Black
958,2019,Democrat,Black
959,2019,Independent,Black
960,2019,Democrat,Black
961,2019,Democrat,Black
962,2019,Unsure/Refused,Black
963,2019,Democrat,Black
964,2019,Democrat,Black
965,2019,Democrat,Black
966,2019,Democrat,Black
967,2019,Democrat,Black
968,2019,Democrat,Black
969,2019,Democrat,Black
970,2019,Independent,Black
971,2019,Independent,Black
972,2019,Democrat,Black
973,2019,Independent,Black
974,2019,Democrat,Black
975,2019,Democrat,Black
976,2019,Unsure/Refused,Black
977,2019,Democrat,Black
978,2019,Independent,Black
979,2019,Unsure/Refused,Black
980,2019,Democrat,Black
981,2019,Democrat,Black
982,2019,Democrat,Black
983,2019,Independent,Black
984,2019,Democrat,Black
985,2019,Democrat,Black
986,2019,Unsure/Refused,Black
987,2019,Independent,Black
988,2019,Democrat,Black
989,2019,Independent,Black
990,2019,Democrat,Black
991,2019,Democrat,Black
992,2019,Democrat,Black
993,2019,Democrat,Black
994,2019,Democrat,Black
995,2019,Democrat,Black
996,2019,Democrat,Black
997,2019,Independent,Black
998,2019,Democrat,Black
999,2019,Democrat,Black
1000,2019,Democrat,Black
1001,2019,Democrat,Black
1002,2019,Democrat,Black
1003,2019,Democrat,Black
1004,2019,Republican,Black
1005,2019,Democrat,Black
1006,2019,Independent,Black
1007,2019,Unsure/Refused,Black
1008,2019,Democrat,Black
1009,2019,Democrat,Black
1010,2019,Democrat,Black
1011,2019,Independent,Black
1012,2019,Democrat,Black
1013,2019,Democrat,Black
1014,2019,Democrat,Black
1015,2019,Independent,Black
1016,2019,Democrat,Black
1017,2019,Democrat,Black
1018,2019,Democrat,Black
1019,2019,Independent,Black
1020,2019,Democrat,Black
1021,2019,Democrat,Black
1022,2019,Independent,Black
1023,2019,Democrat,Black
1024,2019,Unsure/Refused,Black
1025,2019,Democrat,Black
1026,2019,Democrat,Black
1027,2019,Democrat,Black
1028,2019,Democrat,Black
1029,2019,Democrat,Black
1030,2019,Democrat,Black
1031,2019,Independent,Black
1032,2019,Independent,Black
1033,2019,Independent,Black
1034,2019,Democrat,Black
1035,2019,Democrat,Black
1036,2019,Democrat,Black
1037,2019,Independent,Black
1038,2019,Independent,Black
1039,2019,Democrat,Black
1040,2019,Independent,Black
1041,2019,Democrat,Black
1042,2019,Democrat,Black
1043,2019,Independent,Black
1044,2019,Unsure/Refused,Black
1045,2019,Independent,Black
1046,2019,Unsure/Refused,Black
1047,2019,Democrat,Black
1048,2019,Independent,Black
1049,2019,Democrat,Black
1050,2019,Democrat,Black
1051,2019,Democrat,Black
1052,2019,Independent,Black
1053,2019,Independent,Black
1054,2019,Independent,Black
1055,2019,Independent,Black
1056,2019,Independent,Black
1057,2019,Independent,Black
1058,2019,Democrat,Black
1059,2019,Democrat,Black
1060,2019,Democrat,Black
1061,2019,Independent,Black
1062,2019,Democrat,Black
1063,2019,Democrat,Black
1064,2019,Democrat,Black
1065,2019,Democrat,Black
1066,2019,Independent,Black
1067,2019,Republican,Black
1068,2019,Democrat,Black
1069,2019,Democrat,Black
1070,2019,Republican,Black
1071,2019,Democrat,Black
1072,2019,Independent,Black
1073,2019,Democrat,Black
1074,2019,Independent,Black
1075,2019,Independent,Black
1076,2019,Democrat,Black
1077,2019,Unsure/Refused,Black
1078,2019,Democrat,Black
1079,2019,Democrat,Black
1080,2019,Independent,Black
1081,2019,Republican,Black
