Generation,SlangUse,PoliticalIdeology
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,6,conservative
GenerationX,7,conservative
GenerationX,5,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,7,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,6,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,7,conservative
GenerationX,7,conservative
GenerationX,5,conservative
GenerationX,7,conservative
GenerationX,4,conservative
GenerationX,7,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,7,conservative
GenerationX,7,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,6,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,3,liberal
GenerationX,2,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,5,liberal
GenerationX,2,liberal
GenerationX,4,liberal
GenerationX,2,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,4,liberal
GenerationX,3,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,4,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,5,liberal
GenerationX,3,liberal
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,6,moderate
GenerationX,5,moderate
GenerationX,3,moderate
GenerationX,6,moderate
GenerationX,3,moderate
GenerationX,6,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,6,moderate
GenerationX,3,moderate
GenerationX,6,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,6,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,5,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,6,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,6,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,6,moderate
GenerationX,3,moderate
GenerationX,6,moderate
GenerationX,6,moderate
GenerationX,6,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,6,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,4,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,3,moderate
GenerationX,4,moderate
GenerationX,5,moderate
GenerationX,6,moderate
GenerationX,6,moderate
GenerationX,5,moderate
Millennials,10,conservative
Millennials,9,conservative
Millennials,7,conservative
Millennials,7,conservative
Millennials,6,conservative
Millennials,7,conservative
Millennials,9,conservative
Millennials,6,conservative
Millennials,9,conservative
Millennials,8,conservative
Millennials,7,conservative
Millennials,7,conservative
Millennials,8,conservative
Millennials,9,conservative
Millennials,9,conservative
Millennials,7,conservative
Millennials,4,conservative
Millennials,8,conservative
Millennials,6,conservative
Millennials,8,conservative
Millennials,6,conservative
Millennials,8,conservative
Millennials,9,conservative
Millennials,5,conservative
Millennials,10,conservative
Millennials,5,conservative
Millennials,5,conservative
Millennials,10,conservative
Millennials,10,conservative
Millennials,5,conservative
Millennials,7,conservative
Millennials,6,conservative
Millennials,4,conservative
Millennials,4,conservative
Millennials,7,conservative
Millennials,5,conservative
Millennials,9,conservative
Millennials,10,conservative
Millennials,7,conservative
Millennials,8,conservative
Millennials,4,conservative
Millennials,5,conservative
Millennials,10,conservative
Millennials,6,conservative
Millennials,4,conservative
Millennials,4,conservative
Millennials,5,conservative
Millennials,7,conservative
Millennials,6,conservative
Millennials,9,conservative
Millennials,9,conservative
Millennials,6,conservative
Millennials,8,conservative
Millennials,8,conservative
Millennials,8,conservative
Millennials,6,conservative
Millennials,7,conservative
Millennials,6,conservative
Millennials,9,conservative
Millennials,4,conservative
Millennials,2,liberal
Millennials,3,liberal
Millennials,2,liberal
Millennials,7,liberal
Millennials,7,liberal
Millennials,5,liberal
Millennials,8,liberal
Millennials,8,liberal
Millennials,3,liberal
Millennials,5,liberal
Millennials,4,liberal
Millennials,3,liberal
Millennials,6,liberal
Millennials,4,liberal
Millennials,4,liberal
Millennials,9,liberal
Millennials,4,liberal
Millennials,5,liberal
Millennials,4,liberal
Millennials,2,liberal
Millennials,4,liberal
Millennials,3,liberal
Millennials,3,liberal
Millennials,4,liberal
Millennials,5,liberal
Millennials,6,liberal
Millennials,2,liberal
Millennials,7,liberal
Millennials,8,liberal
Millennials,5,liberal
Millennials,6,liberal
Millennials,8,liberal
Millennials,7,liberal
Millennials,7,liberal
Millennials,3,liberal
Millennials,5,liberal
Millennials,8,liberal
Millennials,5,liberal
Millennials,2,liberal
Millennials,2,liberal
Millennials,5,liberal
Millennials,5,liberal
Millennials,6,liberal
Millennials,3,liberal
Millennials,7,liberal
Millennials,3,liberal
Millennials,8,liberal
Millennials,6,liberal
Millennials,4,liberal
Millennials,7,liberal
Millennials,3,liberal
Millennials,4,liberal
Millennials,3,liberal
Millennials,3,liberal
Millennials,8,liberal
Millennials,5,liberal
Millennials,3,liberal
Millennials,8,liberal
Millennials,5,liberal
Millennials,4,liberal
Millennials,4,liberal
Millennials,6,liberal
Millennials,6,liberal
Millennials,6,liberal
Millennials,7,liberal
Millennials,6,liberal
Millennials,6,liberal
Millennials,6,liberal
Millennials,2,liberal
Millennials,8,liberal
Millennials,2,liberal
Millennials,3,liberal
Millennials,7,liberal
Millennials,3,liberal
Millennials,9,liberal
Millennials,4,liberal
Millennials,7,liberal
Millennials,6,liberal
Millennials,2,liberal
Millennials,2,liberal
Millennials,7,liberal
Millennials,7,liberal
Millennials,6,liberal
Millennials,8,liberal
Millennials,3,liberal
Millennials,6,liberal
Millennials,4,liberal
Millennials,3,liberal
Millennials,5,liberal
Millennials,7,liberal
Millennials,9,liberal
Millennials,5,liberal
Millennials,6,liberal
Millennials,2,liberal
Millennials,6,liberal
Millennials,8,liberal
Millennials,7,liberal
Millennials,7,liberal
Millennials,7,liberal
Millennials,8,liberal
Millennials,8,liberal
Millennials,4,liberal
Millennials,5,liberal
Millennials,4,liberal
Millennials,9,liberal
Millennials,3,liberal
Millennials,4,liberal
Millennials,7,moderate
Millennials,8,moderate
Millennials,8,moderate
Millennials,5,moderate
Millennials,5,moderate
Millennials,5,moderate
Millennials,7,moderate
Millennials,7,moderate
Millennials,5,moderate
Millennials,9,moderate
Millennials,4,moderate
Millennials,3,moderate
Millennials,6,moderate
Millennials,5,moderate
Millennials,3,moderate
Millennials,9,moderate
Millennials,8,moderate
Millennials,5,moderate
Millennials,9,moderate
Millennials,3,moderate
Millennials,9,moderate
Millennials,3,moderate
Millennials,7,moderate
Millennials,6,moderate
Millennials,4,moderate
Millennials,5,moderate
Millennials,8,moderate
Millennials,8,moderate
Millennials,6,moderate
Millennials,4,moderate
Millennials,6,moderate
Millennials,3,moderate
Millennials,7,moderate
Millennials,3,moderate
Millennials,9,moderate
Millennials,7,moderate
Millennials,8,moderate
Millennials,3,moderate
Millennials,6,moderate
Millennials,3,moderate
Millennials,5,moderate
Millennials,5,moderate
Millennials,7,moderate
Millennials,3,moderate
Millennials,4,moderate
Millennials,4,moderate
Millennials,4,moderate
Millennials,3,moderate
Millennials,5,moderate
Millennials,5,moderate
Millennials,5,moderate
Millennials,6,moderate
Millennials,8,moderate
Millennials,5,moderate
Millennials,5,moderate
Millennials,8,moderate
Millennials,8,moderate
Millennials,3,moderate
Millennials,6,moderate
Millennials,7,moderate
Millennials,3,moderate
Millennials,4,moderate
Millennials,7,moderate
Millennials,5,moderate
Millennials,6,moderate
Millennials,7,moderate
Millennials,3,moderate
Millennials,3,moderate
Millennials,6,moderate
Millennials,9,moderate
Millennials,4,moderate
Millennials,8,moderate
Millennials,3,moderate
Millennials,7,moderate
Millennials,4,moderate
Traditionalists,0,conservative
Traditionalists,3,conservative
Traditionalists,2,conservative
Traditionalists,2,conservative
Traditionalists,2,conservative
Traditionalists,2,conservative
Traditionalists,2,conservative
Traditionalists,3,conservative
Traditionalists,1,liberal
Traditionalists,1,liberal
Traditionalists,0,liberal
Traditionalists,1,liberal
Traditionalists,0,liberal
Traditionalists,0,moderate
Traditionalists,0,moderate
Traditionalists,0,moderate
Traditionalists,1,moderate
Traditionalists,1,moderate
Traditionalists,2,moderate
